CONTROL_PBIAS_LITE                          0x4A100600
CONTROL_CORE_PAD_GPMC_AD9                   0x4A100052 # CONTROL_CORE_PAD_GPMC_AD8_PAD1_GPMC_AD9[31:16]
CONTROL_CORE_PAD_GPMC_AD10                  0x4A100054 # CONTROL_CORE_PAD_GPMC_AD10_PAD1_GPMC_AD11[15:0]
CONTROL_CORE_PAD_GPMC_AD11                  0x4A100056 # CONTROL_CORE_PAD_GPMC_AD10_PAD1_GPMC_AD11[31:16]
CONTROL_CORE_PAD_GPMC_AD12                  0x4A100058 # CONTROL_CORE_PAD_GPMC_AD12_PAD1_GPMC_AD13[15:0]
CONTROL_CORE_PAD_GPMC_AD13                  0x4A10005A # CONTROL_CORE_PAD_GPMC_AD12_PAD1_GPMC_AD13[31:16]
CONTROL_CORE_PAD_GPMC_AD14                  0x4A10005C # CONTROL_CORE_PAD_GPMC_AD14_PAD1_GPMC_AD15[15:0]
CONTROL_CORE_PAD_GPMC_AD15                  0x4A10005E # CONTROL_CORE_PAD_GPMC_AD14_PAD1_GPMC_AD15[31:16]
CONTROL_CORE_PAD_GPMC_A16                   0x4A100060 # CONTROL_CORE_PAD_GPMC_A16_PAD1_GPMC_A17[15:0]
CONTROL_CORE_PAD_GPMC_A17                   0x4A100062 # CONTROL_CORE_PAD_GPMC_A16_PAD1_GPMC_A17[31:16]
CONTROL_CORE_PAD_GPMC_A18                   0x4A100064 # CONTROL_CORE_PAD_GPMC_A18_PAD1_GPMC_A19[15:0]
CONTROL_CORE_PAD_GPMC_A19                   0x4A100066 # CONTROL_CORE_PAD_GPMC_A18_PAD1_GPMC_A19[31:16]
CONTROL_CORE_PAD_GPMC_A20                   0x4A100068 # CONTROL_CORE_PAD_GPMC_A20_PAD1_GPMC_A21[15:0]
CONTROL_CORE_PAD_GPMC_A21                   0x4A10006A # CONTROL_CORE_PAD_GPMC_A20_PAD1_GPMC_A21[31:16]
CONTROL_CORE_PAD_GPMC_A22                   0x4A10006C # CONTROL_CORE_PAD_GPMC_A22_PAD1_GPMC_A23[15:0]
CONTROL_CORE_PAD_GPMC_A23                   0x4A10006E # CONTROL_CORE_PAD_GPMC_A22_PAD1_GPMC_A23[31:16]
CONTROL_CORE_PAD_GPMC_A24                   0x4A100070 # CONTROL_CORE_PAD_GPMC_A24_PAD1_GPMC_A25[15:0]
CONTROL_CORE_PAD_GPMC_A25                   0x4A100072 # CONTROL_CORE_PAD_GPMC_A24_PAD1_GPMC_A25[31:16]
CONTROL_CORE_PAD_GPMC_NCS0                  0x4A100074 # CONTROL_CORE_PAD_GPMC_NCS0_PAD1_GPMC_NCS1[15:0]
CONTROL_CORE_PAD_GPMC_NCS1                  0x4A100076 # CONTROL_CORE_PAD_GPMC_NCS0_PAD1_GPMC_NCS1[31:16]
CONTROL_CORE_PAD_GPMC_NCS2                  0x4A100078 # CONTROL_CORE_PAD_GPMC_NCS2_PAD1_GPMC_NCS3[15:0]
CONTROL_CORE_PAD_GPMC_NCS3                  0x4A10007A # CONTROL_CORE_PAD_GPMC_NCS2_PAD1_GPMC_NCS3[31:16]
CONTROL_CORE_PAD_GPMC_NWP                   0x4A10007C # CONTROL_CORE_PAD_GPMC_NWP_PAD1_GPMC_CLK[15:0]
CONTROL_CORE_PAD_GPMC_CLK                   0x4A10007E # CONTROL_CORE_PAD_GPMC_NWP_PAD1_GPMC_CLK[31:16]
CONTROL_CORE_PAD_GPMC_NADV_ALE              0x4A100080 # CONTROL_CORE_PAD_GPMC_NADV_ALE_PAD1_GPMC_NOE[15:0]
CONTROL_CORE_PAD_GPMC_NOE                   0x4A100082 # CONTROL_CORE_PAD_GPMC_NADV_ALE_PAD1_GPMC_NOE[31:16]
CONTROL_CORE_PAD_GPMC_NWE                   0x4A100084 # CONTROL_CORE_PAD_GPMC_NWE_PAD1_GPMC_NBE0_CLE[15:0]
CONTROL_CORE_PAD_GPMC_NBE0_CLE              0x4A100086 # CONTROL_CORE_PAD_GPMC_NWE_PAD1_GPMC_NBE0_CLE[31:16]
CONTROL_CORE_PAD_GPMC_NBE1                  0x4A100088 # CONTROL_CORE_PAD_GPMC_NBE1_PAD1_GPMC_WAIT0[15:0]
CONTROL_CORE_PAD_GPMC_WAIT0                 0x4A10008A # CONTROL_CORE_PAD_GPMC_NBE1_PAD1_GPMC_WAIT0[31:16]
CONTROL_CORE_PAD_GPMC_WAIT1                 0x4A10008C # CONTROL_CORE_PAD_GPMC_WAIT1_PAD1_C2C_DATA11[15:0]
CONTROL_CORE_PAD_C2C_DATA11                 0x4A10008E # CONTROL_CORE_PAD_GPMC_WAIT1_PAD1_C2C_DATA11[31:16]
CONTROL_CORE_PAD_C2C_DATA12                 0x4A100090 # CONTROL_CORE_PAD_C2C_DATA12_PAD1_C2C_DATA13[15:0]
CONTROL_CORE_PAD_C2C_DATA13                 0x4A100092 # CONTROL_CORE_PAD_C2C_DATA12_PAD1_C2C_DATA13[31:16]
CONTROL_CORE_PAD_C2C_DATA14                 0x4A100094 # CONTROL_CORE_PAD_C2C_DATA14_PAD1_C2C_DATA15[15:0]
CONTROL_CORE_PAD_C2C_DATA15                 0x4A100096 # CONTROL_CORE_PAD_C2C_DATA14_PAD1_C2C_DATA15[31:16]
CONTROL_CORE_PAD_HDMI_HPD                   0x4A100098 # CONTROL_CORE_PAD_HDMI_HPD_PAD1_HDMI_CEC[15:0]
CONTROL_CORE_PAD_HDMI_CEC                   0x4A10009A # CONTROL_CORE_PAD_HDMI_HPD_PAD1_HDMI_CEC[31:16]
CONTROL_CORE_PAD_HDMI_DDC_SCL               0x4A10009C # CONTROL_CORE_PAD_HDMI_DDC_SCL_PAD1_HDMI_DDC_SDA[15:0]
CONTROL_CORE_PAD_HDMI_DDC_SDA               0x4A10009E # CONTROL_CORE_PAD_HDMI_DDC_SCL_PAD1_HDMI_DDC_SDA[31:16]
CONTROL_CORE_PAD_CSI21_DX0                  0x4A1000A0 # CONTROL_CORE_PAD_CSI21_DX0_PAD1_CSI21_DY0[15:0]
CONTROL_CORE_PAD_CSI21_DY0                  0x4A1000A2 # CONTROL_CORE_PAD_CSI21_DX0_PAD1_CSI21_DY0[31:16]
CONTROL_CORE_PAD_CSI21_DX1                  0x4A1000A4 # CONTROL_CORE_PAD_CSI21_DX1_PAD1_CSI21_DY1[15:0]
CONTROL_CORE_PAD_CSI21_DY1                  0x4A1000A6 # CONTROL_CORE_PAD_CSI21_DX1_PAD1_CSI21_DY1[31:16]
CONTROL_CORE_PAD_CSI21_DX2                  0x4A1000A8 # CONTROL_CORE_PAD_CSI21_DX2_PAD1_CSI21_DY2[15:0]
CONTROL_CORE_PAD_CSI21_DY2                  0x4A1000AA # CONTROL_CORE_PAD_CSI21_DX2_PAD1_CSI21_DY2[31:16]
CONTROL_CORE_PAD_CSI21_DX3                  0x4A1000AC # CONTROL_CORE_PAD_CSI21_DX3_PAD1_CSI21_DY3[15:0]
CONTROL_CORE_PAD_CSI21_DY3                  0x4A1000AE # CONTROL_CORE_PAD_CSI21_DX3_PAD1_CSI21_DY3[31:16]
CONTROL_CORE_PAD_CSI21_DX4                  0x4A1000B0 # CONTROL_CORE_PAD_CSI21_DX4_PAD1_CSI21_DY4[15:0]
CONTROL_CORE_PAD_CSI21_DY4                  0x4A1000B2 # CONTROL_CORE_PAD_CSI21_DX4_PAD1_CSI21_DY4[31:16]
CONTROL_CORE_PAD_CSI22_DX0                  0x4A1000B4 # CONTROL_CORE_PAD_CSI22_DX0_PAD1_CSI22_DY0[15:0]
CONTROL_CORE_PAD_CSI22_DY0                  0x4A1000B6 # CONTROL_CORE_PAD_CSI22_DX0_PAD1_CSI22_DY0[31:16]
CONTROL_CORE_PAD_CSI22_DX1                  0x4A1000B8 # CONTROL_CORE_PAD_CSI22_DX1_PAD1_CSI22_DY1[15:0]
CONTROL_CORE_PAD_CSI22_DY1                  0x4A1000BA # CONTROL_CORE_PAD_CSI22_DX1_PAD1_CSI22_DY1[31:16]
CONTROL_CORE_PAD_CAM_SHUTTER                0x4A1000BC # CONTROL_CORE_PAD_CAM_SHUTTER_PAD1_CAM_STROBE[15:0]
CONTROL_CORE_PAD_CAM_STROBE                 0x4A1000BE # CONTROL_CORE_PAD_CAM_SHUTTER_PAD1_CAM_STROBE[31:16]
CONTROL_CORE_PAD_CAM_GLOBALRESET            0x4A1000C0 # CONTROL_CORE_PAD_CAM_GLOBALRESET_PAD1_USBB1_ULPITLL_CLK[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_CLK          0x4A1000C2 # CONTROL_CORE_PAD_CAM_GLOBALRESET_PAD1_USBB1_ULPITLL_CLK[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_STP          0x4A1000C4 # CONTROL_CORE_PAD_USBB1_ULPITLL_STP_PAD1_USBB1_ULPITLL_DIR[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_DIR          0x4A1000C6 # CONTROL_CORE_PAD_USBB1_ULPITLL_STP_PAD1_USBB1_ULPITLL_DIR[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_NXT          0x4A1000C8 # CONTROL_CORE_PAD_USBB1_ULPITLL_NXT_PAD1_USBB1_ULPITLL_DAT0[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT0         0x4A1000CA # CONTROL_CORE_PAD_USBB1_ULPITLL_NXT_PAD1_USBB1_ULPITLL_DAT0[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT1         0x4A1000CC # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT1_PAD1_USBB1_ULPITLL_DAT2[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT2         0x4A1000CE # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT1_PAD1_USBB1_ULPITLL_DAT2[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT3         0x4A1000D0 # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT3_PAD1_USBB1_ULPITLL_DAT4[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT4         0x4A1000D2 # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT3_PAD1_USBB1_ULPITLL_DAT4[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT5         0x4A1000D4 # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT5_PAD1_USBB1_ULPITLL_DAT6[15:0]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT6         0x4A1000D6 # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT5_PAD1_USBB1_ULPITLL_DAT6[31:16]
CONTROL_CORE_PAD_USBB1_ULPITLL_DAT7         0x4A1000D8 # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT7_PAD1_USBB1_HSIC_DATA[15:0]
CONTROL_CORE_PAD_USBB1_HSIC_DATA            0x4A1000DA # CONTROL_CORE_PAD_USBB1_ULPITLL_DAT7_PAD1_USBB1_HSIC_DATA[31:16]
CONTROL_CORE_PAD_USBB1_HSIC_STROBE          0x4A1000DC # CONTROL_CORE_PAD_USBB1_HSIC_STROBE_PAD1_USBC1_ICUSB_DP[15:0]
CONTROL_CORE_PAD_USBC1_ICUSB_DP             0x4A1000DE # CONTROL_CORE_PAD_USBB1_HSIC_STROBE_PAD1_USBC1_ICUSB_DP[31:16]
CONTROL_CORE_PAD_USBC1_ICUSB_DM             0x4A1000E0 # CONTROL_CORE_PAD_USBC1_ICUSB_DM_PAD1_SDMMC1_CLK[15:0]
CONTROL_CORE_PAD_SDMMC1_CLK                 0x4A1000E2 # CONTROL_CORE_PAD_USBC1_ICUSB_DM_PAD1_SDMMC1_CLK[31:16]
CONTROL_CORE_PAD_SDMMC1_CMD                 0x4A1000E4 # CONTROL_CORE_PAD_SDMMC1_CMD_PAD1_SDMMC1_DAT0[15:0]
CONTROL_CORE_PAD_SDMMC1_DAT0                0x4A1000E6 # CONTROL_CORE_PAD_SDMMC1_CMD_PAD1_SDMMC1_DAT0[31:16]
CONTROL_CORE_PAD_SDMMC1_DAT1                0x4A1000E8 # CONTROL_CORE_PAD_SDMMC1_DAT1_PAD1_SDMMC1_DAT2[15:0]
CONTROL_CORE_PAD_SDMMC1_DAT2                0x4A1000EA # CONTROL_CORE_PAD_SDMMC1_DAT1_PAD1_SDMMC1_DAT2[31:16]
CONTROL_CORE_PAD_SDMMC1_DAT3                0x4A1000EC # CONTROL_CORE_PAD_SDMMC1_DAT3_PAD1_SDMMC1_DAT4[15:0]
CONTROL_CORE_PAD_SDMMC1_DAT4                0x4A1000EE # CONTROL_CORE_PAD_SDMMC1_DAT3_PAD1_SDMMC1_DAT4[31:16]
CONTROL_CORE_PAD_SDMMC1_DAT5                0x4A1000F0 # CONTROL_CORE_PAD_SDMMC1_DAT5_PAD1_SDMMC1_DAT6[15:0]
CONTROL_CORE_PAD_SDMMC1_DAT6                0x4A1000F2 # CONTROL_CORE_PAD_SDMMC1_DAT5_PAD1_SDMMC1_DAT6[31:16]
CONTROL_CORE_PAD_SDMMC1_DAT7                0x4A1000F4 # CONTROL_CORE_PAD_SDMMC1_DAT7_PAD1_ABE_MCBSP2_CLKX[15:0]
CONTROL_CORE_PAD_ABE_MCBSP2_CLKX            0x4A1000F6 # CONTROL_CORE_PAD_SDMMC1_DAT7_PAD1_ABE_MCBSP2_CLKX[31:16]
CONTROL_CORE_PAD_ABE_MCBSP2_DRP             0x4A1000F8 # CONTROL_CORE_PAD_ABE_MCBSP2_DR_PAD1_ABE_MCBSP2_DX[15:0]
CONTROL_CORE_PAD_ABE_MCBSP2_DX              0x4A1000FA # CONTROL_CORE_PAD_ABE_MCBSP2_DR_PAD1_ABE_MCBSP2_DX[31:16]
CONTROL_CORE_PAD_ABE_MCBSP2_FSX             0x4A1000FC # CONTROL_CORE_PAD_ABE_MCBSP2_FSX_PAD1_ABE_MCBSP1_CLKX[15:0]
CONTROL_CORE_PAD_ABE_MCBSP1_CLKX            0x4A1000FE # CONTROL_CORE_PAD_ABE_MCBSP2_FSX_PAD1_ABE_MCBSP1_CLKX[31:16]
CONTROL_CORE_PAD_ABE_MCBSP1_DRDATA          0x4A100100 # CONTROL_CORE_PAD_ABE_MCBSP1_DR_PAD1_ABE_MCBSP1_DX[15:0]
CONTROL_CORE_PAD_ABE_MCBSP1_DX              0x4A100102 # CONTROL_CORE_PAD_ABE_MCBSP1_DR_PAD1_ABE_MCBSP1_DX[31:16]
CONTROL_CORE_PAD_ABE_MCBSP1_FSX             0x4A100104 # CONTROL_CORE_PAD_ABE_MCBSP1_FSX_PAD1_ABE_PDM_UL_DATA[15:0]
CONTROL_CORE_PAD_ABE_PDM_UL_DATA            0x4A100106 # CONTROL_CORE_PAD_ABE_MCBSP1_FSX_PAD1_ABE_PDM_UL_DATA[31:16]
CONTROL_CORE_PAD_ABE_PDM_DL_DATA            0x4A100108 # CONTROL_CORE_PAD_ABE_PDM_DL_DATA_PAD1_ABE_PDM_FRAME[15:0]
CONTROL_CORE_PAD_ABE_PDM_FRAME              0x4A10010A # CONTROL_CORE_PAD_ABE_PDM_DL_DATA_PAD1_ABE_PDM_FRAME[31:16]
CONTROL_CORE_PAD_ABE_PDM_LB_CLK             0x4A10010C # CONTROL_CORE_PAD_ABE_PDM_LB_CLK_PAD1_ABE_CLKS[15:0]
CONTROL_CORE_PAD_ABE_CLKS                   0x4A10010E # CONTROL_CORE_PAD_ABE_PDM_LB_CLK_PAD1_ABE_CLKS[31:16]
CONTROL_CORE_PAD_ABE_DMIC_CLK1E0            0x4A100110 # CONTROL_CORE_PAD_ABE_DMIC_CLK1_PAD1_ABE_DMIC_DIN1[15:0]
CONTROL_CORE_PAD_ABE_DMIC_DIN1AT            0x4A100112 # CONTROL_CORE_PAD_ABE_DMIC_CLK1_PAD1_ABE_DMIC_DIN1[31:16]
CONTROL_CORE_PAD_ABE_DMIC_DIN2              0x4A100114 # CONTROL_CORE_PAD_ABE_DMIC_DIN2_PAD1_ABE_DMIC_DIN3[15:0]
CONTROL_CORE_PAD_ABE_DMIC_DIN3              0x4A100116 # CONTROL_CORE_PAD_ABE_DMIC_DIN2_PAD1_ABE_DMIC_DIN3[31:16]
CONTROL_CORE_PAD_UART2_CTS                  0x4A100118 # CONTROL_CORE_PAD_UART2_CTS_PAD1_UART2_RTS[15:0]
CONTROL_CORE_PAD_UART2_RTS                  0x4A10011A # CONTROL_CORE_PAD_UART2_CTS_PAD1_UART2_RTS[31:16]
CONTROL_CORE_PAD_UART2_RX                   0x4A10011C # CONTROL_CORE_PAD_UART2_RX_PAD1_UART2_TX[15:0]
CONTROL_CORE_PAD_UART2_TX                   0x4A10011E # CONTROL_CORE_PAD_UART2_RX_PAD1_UART2_TX[31:16]
CONTROL_CORE_PAD_HDQ_SIO                    0x4A100120 # CONTROL_CORE_PAD_HDQ_SIO_PAD1_I2C1_SCL[15:0]
CONTROL_CORE_PAD_I2C1_SCL                   0x4A100122 # CONTROL_CORE_PAD_HDQ_SIO_PAD1_I2C1_SCL[31:16]
CONTROL_CORE_PAD_I2C1_SDA                   0x4A100124 # CONTROL_CORE_PAD_I2C1_SDA_PAD1_I2C2_SCL[15:0]
CONTROL_CORE_PAD_I2C2_SCL                   0x4A100126 # CONTROL_CORE_PAD_I2C1_SDA_PAD1_I2C2_SCL[31:16]
CONTROL_CORE_PAD_I2C2_SDA                   0x4A100128 # CONTROL_CORE_PAD_I2C2_SDA_PAD1_I2C3_SCL[15:0]
CONTROL_CORE_PAD_I2C3_SCL                   0x4A10012A # CONTROL_CORE_PAD_I2C2_SDA_PAD1_I2C3_SCL[31:16]
CONTROL_CORE_PAD_I2C3_SDA                   0x4A10012C # CONTROL_CORE_PAD_I2C3_SDA_PAD1_I2C4_SCL[15:0]
CONTROL_CORE_PAD_I2C4_SCL                   0x4A10012E # CONTROL_CORE_PAD_I2C3_SDA_PAD1_I2C4_SCL[31:16]
CONTROL_CORE_PAD_I2C4_SDA                   0x4A100130 # CONTROL_CORE_PAD_I2C4_SDA_PAD1_MCSPI1_CLK[15:0]
CONTROL_CORE_PAD_MCSPI1_CLK                 0x4A100132 # CONTROL_CORE_PAD_I2C4_SDA_PAD1_MCSPI1_CLK[31:16]
CONTROL_CORE_PAD_MCSPI1_SOMI                0x4A100134 # CONTROL_CORE_PAD_MCSPI1_SOMI_PAD1_MCSPI1_SIMO[15:0]
CONTROL_CORE_PAD_MCSPI1_SIMO                0x4A100136 # CONTROL_CORE_PAD_MCSPI1_SOMI_PAD1_MCSPI1_SIMO[31:16]
CONTROL_CORE_PAD_MCSPI1_CS0                 0x4A100138 # CONTROL_CORE_PAD_MCSPI1_CS0_PAD1_MCSPI1_CS1[15:0]
CONTROL_CORE_PAD_MCSPI1_CS1                 0x4A10013A # CONTROL_CORE_PAD_MCSPI1_CS0_PAD1_MCSPI1_CS1[31:16]
CONTROL_CORE_PAD_MCSPI1_CS2                 0x4A10013C # CONTROL_CORE_PAD_MCSPI1_CS2_PAD1_MCSPI1_CS3[15:0]
CONTROL_CORE_PAD_MCSPI1_CS3                 0x4A10013E # CONTROL_CORE_PAD_MCSPI1_CS2_PAD1_MCSPI1_CS3[31:16]
CONTROL_CORE_PAD_UART3_CTS_RCTX             0x4A100140 # CONTROL_CORE_PAD_UART3_CTS_RCTX_PAD1_UART3_RTS_SD[15:0]
CONTROL_CORE_PAD_UART3_RTS_SD               0x4A100142 # CONTROL_CORE_PAD_UART3_CTS_RCTX_PAD1_UART3_RTS_SD[31:16]
CONTROL_CORE_PAD_UART3_RX_IRRX_EVT          0x4A100144 # CONTROL_CORE_PAD_UART3_RX_IRRX_PAD1_UART3_TX_IRTX[15:0]
CONTROL_CORE_PAD_UART3_TX_IRTX_EVT          0x4A100146 # CONTROL_CORE_PAD_UART3_RX_IRRX_PAD1_UART3_TX_IRTX[31:16]
CONTROL_CORE_PAD_SDMMC5_CLK                 0x4A100148 # CONTROL_CORE_PAD_SDMMC5_CLK_PAD1_SDMMC5_CMD[15:0]
CONTROL_CORE_PAD_SDMMC5_CMD                 0x4A10014A # CONTROL_CORE_PAD_SDMMC5_CLK_PAD1_SDMMC5_CMD[31:16]
CONTROL_CORE_PAD_SDMMC5_DAT0                0x4A10014C # CONTROL_CORE_PAD_SDMMC5_DAT0_PAD1_SDMMC5_DAT1[15:0]
CONTROL_CORE_PAD_SDMMC5_DAT1                0x4A10014E # CONTROL_CORE_PAD_SDMMC5_DAT0_PAD1_SDMMC5_DAT1[31:16]
CONTROL_CORE_PAD_SDMMC5_DAT2                0x4A100150 # CONTROL_CORE_PAD_SDMMC5_DAT2_PAD1_SDMMC5_DAT3[15:0]
CONTROL_CORE_PAD_SDMMC5_DAT3                0x4A100152 # CONTROL_CORE_PAD_SDMMC5_DAT2_PAD1_SDMMC5_DAT3[31:16]
CONTROL_CORE_PAD_MCSPI4_CLK                 0x4A100154 # CONTROL_CORE_PAD_MCSPI4_CLK_PAD1_MCSPI4_SIMO[15:0]
CONTROL_CORE_PAD_MCSPI4_SIMO                0x4A100156 # CONTROL_CORE_PAD_MCSPI4_CLK_PAD1_MCSPI4_SIMO[31:16]
CONTROL_CORE_PAD_MCSPI4_SOMI                0x4A100158 # CONTROL_CORE_PAD_MCSPI4_SOMI_PAD1_MCSPI4_CS0[15:0]
CONTROL_CORE_PAD_MCSPI4_CS0                 0x4A10015A # CONTROL_CORE_PAD_MCSPI4_SOMI_PAD1_MCSPI4_CS0[31:16]
CONTROL_CORE_PAD_UART4_RX                   0x4A10015C # CONTROL_CORE_PAD_UART4_RX_PAD1_UART4_TX[15:0]
CONTROL_CORE_PAD_UART4_TX                   0x4A10015E # CONTROL_CORE_PAD_UART4_RX_PAD1_UART4_TX[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_CLK          0x4A100160 # CONTROL_CORE_PAD_USBB2_ULPITLL_CLK_PAD1_USBB2_ULPITLL_STP[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_STP          0x4A100162 # CONTROL_CORE_PAD_USBB2_ULPITLL_CLK_PAD1_USBB2_ULPITLL_STP[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_DIR          0x4A100164 # CONTROL_CORE_PAD_USBB2_ULPITLL_DIR_PAD1_USBB2_ULPITLL_NXT[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_NXT          0x4A100166 # CONTROL_CORE_PAD_USBB2_ULPITLL_DIR_PAD1_USBB2_ULPITLL_NXT[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT0         0x4A100168 # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT0_PAD1_USBB2_ULPITLL_DAT1[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT1         0x4A10016A # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT0_PAD1_USBB2_ULPITLL_DAT1[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT2         0x4A10016C # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT2_PAD1_USBB2_ULPITLL_DAT3[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT3         0x4A10016E # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT2_PAD1_USBB2_ULPITLL_DAT3[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT4         0x4A100170 # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT4_PAD1_USBB2_ULPITLL_DAT5[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT5         0x4A100172 # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT4_PAD1_USBB2_ULPITLL_DAT5[31:16]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT6         0x4A100174 # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT6_PAD1_USBB2_ULPITLL_DAT7[15:0]
CONTROL_CORE_PAD_USBB2_ULPITLL_DAT7         0x4A100176 # CONTROL_CORE_PAD_USBB2_ULPITLL_DAT6_PAD1_USBB2_ULPITLL_DAT7[31:16]
CONTROL_CORE_PAD_USBB2_HSIC_DATA            0x4A100178 # CONTROL_CORE_PAD_USBB2_HSIC_DATA_PAD1_USBB2_HSIC_STROBE[15:0]
CONTROL_CORE_PAD_USBB2_HSIC_STROBE          0x4A10017A # CONTROL_CORE_PAD_USBB2_HSIC_DATA_PAD1_USBB2_HSIC_STROBE[31:16]
CONTROL_CORE_PAD_UNIPRO_TX0                 0x4A10017C # CONTROL_CORE_PAD_UNIPRO_TX0_PAD1_UNIPRO_TY0[15:0]
CONTROL_CORE_PAD_UNIPRO_TY0                 0x4A10017E # CONTROL_CORE_PAD_UNIPRO_TX0_PAD1_UNIPRO_TY0[31:16]
CONTROL_CORE_PAD_UNIPRO_TX1                 0x4A100180 # CONTROL_CORE_PAD_UNIPRO_TX1_PAD1_UNIPRO_TY1[15:0]
CONTROL_CORE_PAD_UNIPRO_TY1                 0x4A100182 # CONTROL_CORE_PAD_UNIPRO_TX1_PAD1_UNIPRO_TY1[31:16]
CONTROL_CORE_PAD_UNIPRO_TX2                 0x4A100184 # CONTROL_CORE_PAD_UNIPRO_TX2_PAD1_UNIPRO_TY2[15:0]
CONTROL_CORE_PAD_UNIPRO_TY2                 0x4A100186 # CONTROL_CORE_PAD_UNIPRO_TX2_PAD1_UNIPRO_TY2[31:16]
CONTROL_CORE_PAD_UNIPRO_RX0                 0x4A100188 # CONTROL_CORE_PAD_UNIPRO_RX0_PAD1_UNIPRO_RY0[15:0]
CONTROL_CORE_PAD_UNIPRO_RY0                 0x4A10018A # CONTROL_CORE_PAD_UNIPRO_RX0_PAD1_UNIPRO_RY0[31:16]
CONTROL_CORE_PAD_UNIPRO_RX1                 0x4A10018C # CONTROL_CORE_PAD_UNIPRO_RX1_PAD1_UNIPRO_RY1[15:0]
